t,y
2025-07-01 00:30:00,7575.032
2025-07-01 01:00:00,7241.312
2025-07-01 01:30:00,7248.332
2025-07-01 02:00:00,7151.712
2025-07-01 02:30:00,7203.526
2025-07-01 03:00:00,7306.734
2025-07-01 03:30:00,7474.104
2025-07-01 04:00:00,7542.092
2025-07-01 04:30:00,7571.644
2025-07-01 05:00:00,7609.29
2025-07-01 05:30:00,7633.72
2025-07-01 06:00:00,7550.3
2025-07-01 06:30:00,7620.322
2025-07-01 07:00:00,7793.056
2025-07-01 07:30:00,8194.358
2025-07-01 08:00:00,8514.536
2025-07-01 08:30:00,9222.686
2025-07-01 09:00:00,10065.942
2025-07-01 09:30:00,10472.708
2025-07-01 10:00:00,10720.74
2025-07-01 10:30:00,10751.646
2025-07-01 11:00:00,11049.114
2025-07-01 11:30:00,11180.12
2025-07-01 12:00:00,11240.278
2025-07-01 12:30:00,11315.016
2025-07-01 13:00:00,11254.19
2025-07-01 13:30:00,11646.664
2025-07-01 14:00:00,11813.816
2025-07-01 14:30:00,11793.928
2025-07-01 15:00:00,11806.882
2025-07-01 15:30:00,11660.32
2025-07-01 16:00:00,11613.91
2025-07-01 16:30:00,11292.904
2025-07-01 17:00:00,11120.512
2025-07-01 17:30:00,10733.962
2025-07-01 18:00:00,10452.39
2025-07-01 18:30:00,10247.888
2025-07-01 19:00:00,10167.294
2025-07-01 19:30:00,10107.61
2025-07-01 20:00:00,9891.28
2025-07-01 20:30:00,9613.438
2025-07-01 21:00:00,9336.994
2025-07-01 21:30:00,9026.866
2025-07-01 22:00:00,8695.576
2025-07-01 22:30:00,8465.272
2025-07-01 23:00:00,8255.518
2025-07-01 23:30:00,8172.218
2025-07-02 00:30:00,7605.004
2025-07-02 01:00:00,7324.752
2025-07-02 01:30:00,7298.514
2025-07-02 02:00:00,7179.988
2025-07-02 02:30:00,7160.954
2025-07-02 03:00:00,7437.032
2025-07-02 03:30:00,7501.42
2025-07-02 04:00:00,7598.618
2025-07-02 04:30:00,7713.798
2025-07-02 05:00:00,7751.03
2025-07-02 05:30:00,7768.706
2025-07-02 06:00:00,7673.378
2025-07-02 06:30:00,7728.29
2025-07-02 07:00:00,7885.702
2025-07-02 07:30:00,8245.918
2025-07-02 08:00:00,8674.906
2025-07-02 08:30:00,9481.952
2025-07-02 09:00:00,10240.64
2025-07-02 09:30:00,10662.208
2025-07-02 10:00:00,11087.998
2025-07-02 10:30:00,11200.27
2025-07-02 11:00:00,11435.58
2025-07-02 11:30:00,11649.0
2025-07-02 12:00:00,11649.0
2025-07-02 12:30:00,11111.0
2025-07-02 13:00:00,11089.0
2025-07-02 13:30:00,11419.0
2025-07-02 14:00:00,11620.0
2025-07-02 14:30:00,12000.566
2025-07-02 15:00:00,11997.71
2025-07-02 15:30:00,11874.566
2025-07-02 16:00:00,11827.192
2025-07-02 16:30:00,11511.828
2025-07-02 17:00:00,11317.89
2025-07-02 17:30:00,10950.002
2025-07-02 18:00:00,10648.712
2025-07-02 18:30:00,10454.152
2025-07-02 19:00:00,10346.592
2025-07-02 19:30:00,10222.524
2025-07-02 20:00:00,9976.51
2025-07-02 20:30:00,9716.384
2025-07-02 21:00:00,9454.006
2025-07-02 21:30:00,9183.952
2025-07-02 22:00:00,8866.486
2025-07-02 22:30:00,8699.59
2025-07-02 23:00:00,8467.718
2025-07-02 23:30:00,8290.46
2025-07-03 00:30:00,7689.578
2025-07-03 01:00:00,7479.994
2025-07-03 01:30:00,7486.496
2025-07-03 02:00:00,7352.72
2025-07-03 02:30:00,7366.104
2025-07-03 03:00:00,7484.094
2025-07-03 03:30:00,7537.468
2025-07-03 04:00:00,7587.534
2025-07-03 04:30:00,7631.272
2025-07-03 05:00:00,7673.564
2025-07-03 05:30:00,7748.142
2025-07-03 06:00:00,7651.698
2025-07-03 06:30:00,7690.904
2025-07-03 07:00:00,7915.98
2025-07-03 07:30:00,8484.576
2025-07-03 08:00:00,8877.652
2025-07-03 08:30:00,9624.988
2025-07-03 09:00:00,10466.752
2025-07-03 09:30:00,11142.67
2025-07-03 10:00:00,11457.818
2025-07-03 10:30:00,11515.266
2025-07-03 11:00:00,11813.2
2025-07-03 11:30:00,12030.992
2025-07-03 12:00:00,12169.294
2025-07-03 12:30:00,11733.368
2025-07-03 13:00:00,11864.914
2025-07-03 13:30:00,12225.906
2025-07-03 14:00:00,12378.91
2025-07-03 14:30:00,12306.014
2025-07-03 15:00:00,12258.284
2025-07-03 15:30:00,11888.668
2025-07-03 16:00:00,11797.306
2025-07-03 16:30:00,11548.154
2025-07-03 17:00:00,11416.33
2025-07-03 17:30:00,11128.488
2025-07-03 18:00:00,10871.538
2025-07-03 18:30:00,10640.73
2025-07-03 19:00:00,10557.196
2025-07-03 19:30:00,10635.112
2025-07-03 20:00:00,10364.308
2025-07-03 20:30:00,10077.0
2025-07-03 21:00:00,9818.0
2025-07-03 21:30:00,9415.0
2025-07-03 22:00:00,9101.0
2025-07-03 22:30:00,8920.0
2025-07-03 23:00:00,8682.0
2025-07-03 23:30:00,8466.0
2025-07-04 00:30:00,7992.378
2025-07-04 01:00:00,7665.56
2025-07-04 01:30:00,7603.228
2025-07-04 02:00:00,7476.244
2025-07-04 02:30:00,7465.966
2025-07-04 03:00:00,7733.966
2025-07-04 03:30:00,7774.906
2025-07-04 04:00:00,7862.428
2025-07-04 04:30:00,7835.57
2025-07-04 05:00:00,7964.664
2025-07-04 05:30:00,7969.42
2025-07-04 06:00:00,7902.86
2025-07-04 06:30:00,8042.118
2025-07-04 07:00:00,8242.774
2025-07-04 07:30:00,8609.56
2025-07-04 08:00:00,9150.986
2025-07-04 08:30:00,10061.0
2025-07-04 09:00:00,10938.124
2025-07-04 09:30:00,11346.786
2025-07-04 10:00:00,11654.064
2025-07-04 10:30:00,11776.192
2025-07-04 11:00:00,11976.984
2025-07-04 11:30:00,12047.362
2025-07-04 12:00:00,12064.876
2025-07-04 12:30:00,11613.668
2025-07-04 13:00:00,11392.274
2025-07-04 13:30:00,11977.792
2025-07-04 14:00:00,12147.32
2025-07-04 14:30:00,12123.4
2025-07-04 15:00:00,12078.53
2025-07-04 15:30:00,11825.424
2025-07-04 16:00:00,11799.426
2025-07-04 16:30:00,11609.894
2025-07-04 17:00:00,11405.582
2025-07-04 17:30:00,11008.326
2025-07-04 18:00:00,10790.05
2025-07-04 18:30:00,10639.078
2025-07-04 19:00:00,10558.738
2025-07-04 19:30:00,10427.604
2025-07-04 20:00:00,10171.504
2025-07-04 20:30:00,9858.0
2025-07-04 21:00:00,9642.0
2025-07-04 21:30:00,9284.0
2025-07-04 22:00:00,8996.0
2025-07-04 22:30:00,8755.0
2025-07-04 23:00:00,8486.0
2025-07-04 23:30:00,8226.0
2025-07-05 00:30:00,7807.984
2025-07-05 01:00:00,7637.34
2025-07-05 01:30:00,7511.55
2025-07-05 02:00:00,7410.686
2025-07-05 02:30:00,7378.234
2025-07-05 03:00:00,7419.916
2025-07-05 03:30:00,7521.508
2025-07-05 04:00:00,7563.986
2025-07-05 04:30:00,7594.44
2025-07-05 05:00:00,7626.22
