power_w,irradiance_wm2,module_temp_c
17563.6,973.7,42.8
15580.9,968.4,42.9
15843.5,957.0,43.1
15109.4,923.0,43.3
14324.4,936.1,43.15
17875.1,973.8,43.1
18456.7,904.6,42.45
8530.8,519.6,40.7
8566.2,495.4,38.95
10805.8,642.7,37.45
16604.6,956.1,36.4
15537.7,905.7,35.6
12552.6,830.8,34.9
19634.0,1031.1,34.7
18311.1,976.4,34.85
17797.1,972.3,35.2
18014.4,974.9,35.75
17576.1,966.6,36.25
16899.5,931.8,36.9
16303.5,864.0,37.35
14718.5,836.9,37.55
16209.4,868.7,37.6
18158.2,947.7,37.45
17511.1,930.3,37.55
14646.3,750.7,37.05
13644.2,743.8,36.45
14587.2,787.5,35.95
15106.7,722.4,35.95
9041.0,503.0,35.05
7917.9,482.5,33.75
10588.6,647.3,33.0
10444.1,527.8,32.35
8580.3,539.6,31.7
8110.4,442.5,31.0
8987.5,546.2,30.45
14385.5,866.6,30.9
19381.8,1009.9,32.2
18270.0,961.4,33.5
17415.6,930.2,34.45
17108.7,912.8,35.3
16755.3,899.5,35.9
16589.9,888.3,36.3
16224.5,876.4,36.75
16189.4,872.7,37.15
16078.4,868.2,37.05
15948.4,860.6,37.25
15833.3,856.0,37.7
15786.7,853.7,37.8
15861.4,856.4,37.7
15751.1,848.9,37.35
15756.3,799.2,37.1
14298.8,746.4,36.9
14175.8,811.6,37.1
15062.8,840.7,37.35
15721.9,827.6,37.55
15535.1,833.0,37.6
15522.0,832.4,37.75
15500.0,812.8,38.05
12818.4,699.0,38.15
14832.2,809.8,38.3
15296.2,829.2,38.3
14774.2,815.5,38.3
15328.3,825.6,38.3
15189.5,820.2,38.3
15164.7,814.5,38.15
15098.0,814.5,38.3
15135.8,817.6,38.7
15122.3,817.7,38.9
15106.1,818.0,39.05
15170.7,822.5,39.2
15192.2,824.5,39.45
15291.0,826.9,39.85
15309.7,829.0,39.7
15386.7,831.1,39.05
15365.5,820.1,38.65
15041.1,807.6,38.4
15009.7,805.8,38.0
14936.3,803.3,37.8
14909.0,795.3,37.35
14799.1,788.6,36.75
14729.6,784.8,36.2
14749.3,779.5,35.65
14651.9,773.6,34.95
14582.1,769.7,34.45
14604.5,769.6,33.9
14718.7,769.1,33.25
14663.0,770.2,32.95
14726.8,773.4,32.7
14877.8,780.2,32.55
15001.6,785.0,32.45
15160.0,789.7,32.15
15176.3,793.7,31.75
15331.0,798.0,31.6
15479.0,809.5,31.55
15812.5,822.9,31.45
14278.9,800.5,31.35
15330.6,800.7,31.25
15394.6,801.7,31.4
15165.4,789.6,31.45
14930.9,776.4,31.4
14682.5,767.6,31.3
14646.3,762.5,31.15
14565.3,759.2,31.2
14481.6,754.3,31.3
14338.6,750.6,31.2
14399.7,748.5,30.85
14394.1,745.0,30.5
14284.6,740.4,30.35
14178.6,735.8,30.4
14152.7,732.5,30.2
14123.8,729.5,29.95
14016.3,725.0,29.55
13952.2,722.5,29.15
13949.3,718.4,28.85
13843.4,715.2,28.8
13770.5,713.7,29.0
13761.6,714.5,29.1
13829.5,716.7,29.05
13949.3,720.4,29.1
14077.4,724.9,29.05
14205.2,729.0,28.9
14245.5,732.2,28.85
14317.2,735.3,28.9
14311.5,735.6,28.8
14294.3,734.6,28.75
14190.2,729.5,28.8
14059.8,723.7,28.9
13897.0,718.5,29.0
13819.7,711.1,29.05
13569.5,701.0,29.2
13418.3,692.3,29.0
13265.5,684.0,28.9
13065.2,675.7,28.8
12958.5,669.0,29.05
12780.2,661.3,29.2
12632.7,654.1,29.1
12455.1,646.9,29.0
12373.1,640.6,28.8
12303.7,636.4,28.55
12283.7,634.0,28.3
12226.4,633.0,28.05
12267.1,632.9,27.9
12273.7,634.0,27.9
12323.9,636.7,27.95
12345.3,637.0,28.05
12314.1,638.6,28.05
12340.2,639.8,28.05
12323.9,637.6,27.9
12184.4,631.7,27.85
12068.4,623.8,27.85
11957.5,618.1,27.75
11856.3,617.2,27.85
11950.8,621.6,27.75
12045.0,625.8,27.6
12118.3,626.6,27.35
12041.0,624.7,26.9
12071.7,620.5,26.55
11913.8,614.2,26.6
11753.8,605.5,26.65
11525.6,596.7,26.6
11403.1,590.6,26.65
11335.8,585.6,26.7
11218.3,582.9,26.6
11200.4,580.9,26.6
11150.4,579.1,26.7
11170.1,576.7,26.85
11126.6,572.3,26.85
11030.0,568.1,26.55
10963.9,564.4,26.4
10924.4,562.0,26.3
10838.2,560.0,26.3
10872.4,560.4,26.15
10892.5,561.0,26.1
10860.4,557.8,26.1
10715.4,551.7,26.0
10552.4,542.9,25.85
10416.8,535.0,25.65
10272.0,529.0,25.55
10177.4,525.2,25.55
10170.0,521.7,25.55
9985.9,517.7,25.5
9945.5,513.5,25.5
9911.1,510.3,25.45
9837.4,507.7,25.5
9821.0,506.6,25.55
9843.8,506.2,25.5
9763.3,504.9,25.45
9680.6,502.6,25.25
9779.8,504.2,25.05
9661.3,497.5,24.85
9468.4,489.6,24.6
9344.4,484.9,24.55
9334.4,481.7,24.5
9264.9,479.1,24.5
9203.8,477.4,24.5
9168.7,475.5,24.65
9100.4,473.7,24.75
9056.0,471.7,24.8
8983.1,468.8,24.7
9014.0,465.7,24.65
8941.7,465.3,24.7
8393.3,368.6,24.6
5453.6,291.4,24.05
4836.1,252.1,23.6
5033.1,277.4,23.05
5843.2,322.6,22.8
7512.0,426.5,22.9
8619.4,449.3,23.25
8459.7,444.1,23.55
8445.0,439.3,23.7
8271.5,436.5,23.9
8290.9,434.1,23.95
8044.5,425.0,23.9
8034.5,424.0,23.9
8061.4,423.3,24.05
8007.5,422.7,24.0
7984.1,421.5,24.0
8009.3,422.1,23.95
7977.3,422.3,24.05
7999.2,421.0,24.15
7953.6,415.0,24.25
7042.0,385.0,24.25
6160.3,367.9,24.05
7639.9,406.9,23.75
7528.1,405.4,23.7
7618.5,407.6,23.6
7708.8,408.5,23.5
7650.1,405.7,23.45
7544.1,361.6,23.35
3514.1,297.0,22.8
1510.9,111.8,21.95
1420.5,98.7,20.9
2203.4,148.2,20.1
1595.6,100.6,19.3
1715.7,121.4,18.55
1603.6,163.5,17.95
3263.9,247.8,17.7
6561.1,358.7,17.9
3713.2,261.9,17.95
6853.7,362.9,18.3
4553.6,248.8,18.55
4903.1,340.1,18.7
6378.5,356.1,18.95
6818.3,345.0,19.35
3163.8,204.8,19.35
3109.2,189.0,19.2
5160.2,244.6,19.05
1603.6,98.6,18.65
1307.4,83.4,18.15
1188.1,78.6,17.5
1343.1,85.9,17.05
1448.7,90.5,16.6
1339.4,87.1,16.1
1553.1,94.6,15.7
1550.9,105.9,15.35
1899.4,144.9,15.1
3163.8,166.9,15.15
2319.1,140.1,15.0
2839.3,161.3,14.95
2997.8,138.8,14.9
1570.6,96.8,14.65
1603.6,98.2,14.45
2228.5,128.2,14.3
3311.9,201.0,14.35
5512.3,299.1,14.75
5445.9,295.2,15.2
5342.4,289.8,15.6
5205.6,289.2,16.0
4935.8,279.5,16.35
5236.6,290.8,16.7
5175.2,287.4,16.95
4053.2,179.8,17.1
1391.1,86.8,16.7
1383.1,87.2,16.3
1375.1,86.0,15.9
1323.4,85.4,15.55
2997.8,112.7,15.3
1676.1,155.6,15.15
2287.1,161.0,15.2
1407.1,88.1,15.05
1159.6,76.6,14.8
